node,best_radius,best_q,size,members
1469,1,3.781135207369232,22,"['1376', '1721', '1739', '127', '290', '45', '1297', '455', '62', '1660', '1476', '467', '988', '174', '1320', '1147', '1259', '318', '1631', '848', '103', '1731']"
1212,1,3.7668642739548703,15,"['1476', '1374', '290', '467', '1078', '45', '1014', '1297', '1758', '1376', '1320', '784', '59', '1660', '127']"
1840,1,3.7668642739548703,15,"['1486', '1476', '290', '467', '45', '1297', '1758', '1721', '1320', '103', '1765', '1660', '1739', '305', '127']"
1419,1,3.736083673342425,12,"['1476', '1821', '298', '467', '894', '1297', '1433', '455', '899', '1660', '781', '127']"
1215,1,3.72959847057019,6,"['880', '1867', '1706', '637', '59', '928']"
1536,1,3.7274294200915645,16,"['1476', '1374', '656', '235', '1311', '682', '1721', '460', '809', '1320', '1196', '982', '207', '388', '250', '109']"
1204,1,3.7173345680182353,7,"['1593', '869', '287', '55', '781', '67', '893']"
1574,1,3.711092169148096,10,"['1543', '557', '869', '1739', '1694', '1320', '103', '781', '471', '669']"
1748,1,3.7071274353141024,6,"['814', '467', '488', '1311', '698', '928']"
538,1,3.7002753972358713,22,"['1486', '1721', '1376', '1739', '1593', '305', '1837', '290', '36', '1179', '1660', '1476', '988', '1086', '613', '174', '1320', '1221', '1394', '141', '1787', '103']"
1011,1,3.6858540119376872,21,"['1721', '305', '127', '1837', '290', '45', '1443', '1660', '467', '988', '174', '1320', '1147', '1259', '1650', '318', '1758', '1423', '141', '103', '241']"
1788,1,3.6856970996193836,9,"['2', '1631', '682', '1086', '1443', '1824', '1533', '1147', '502']"
678,1,3.674004085510117,5,"['290', '1821', '1442', '471', '305']"
1163,1,3.668070785440423,5,"['1476', '1706', '369', '781', '127']"
1270,1,3.6676687206792487,25,"['1311', '1376', '471', '1739', '305', '1706', '290', '1776', '455', '62', '1660', '1142', '116', '1476', '1643', '622', '1320', '689', '1147', '1259', '318', '103', '173', '1036', '1271']"
1306,1,3.6545070879652597,18,"['1476', '781', '656', '866', '1821', '1763', '1311', '153', '460', '1157', '176', '1320', '1147', '1554', '369', '341', '127', '1005']"
322,1,3.652066432861638,22,"['1131', '1376', '1424', '893', '290', '1297', '1157', '62', '1660', '1476', '1699', '1643', '988', '869', '1533', '496', '1259', '1195', '141', '103', '33', '1036']"
476,1,3.649969622910886,6,"['496', '488', '622', '798', '1533', '1394']"
311,1,3.6378714983302087,21,"['1821', '1311', '1721', '1376', '471', '1593', '1739', '781', '127', '290', '1297', '455', '1660', '1245', '1476', '467', '1320', '395', '705', '1758', '103']"
1220,1,3.632911857792057,19,"['1821', '1311', '682', '471', '1593', '781', '127', '1280', '1297', '1374', '656', '467', '1196', '26', '577', '1147', '1259', '318', '557']"
1521,1,3.6244522575363467,10,"['1476', '290', '857', '798', '1424', '103', '1660', '1739', '305', '127']"
783,1,3.6220483255004505,9,"['1259', '1476', '45', '870', '654', '868', '103', '1148', '127']"
1704,1,3.608936651286552,11,"['1476', '290', '880', '467', '455', '287', '1320', '1765', '1660', '1739', '127']"
144,1,3.6044289646008796,6,"['467', '1643', '1297', '403', '689', '1762']"
1398,1,3.6013045443445475,15,"['1476', '290', '902', '1721', '287', '1320', '1525', '689', '1765', '1196', '1147', '1739', '669', '305', '127']"
534,1,3.5969173274208677,29,"['870', '1721', '441', '1541', '1850', '1739', '67', '305', '1621', '1593', '306', '290', '1297', '1647', '455', '62', '806', '1660', '1142', '1476', '467', '869', '1320', '1348', '1259', '176', '103', '1068', '1555']"
473,1,3.592522711633505,13,"['1476', '1259', '467', '1142', '1297', '928', '455', '1787', '287', '628', '103', '1660', '127']"
758,1,3.585871476053442,13,"['1476', '290', '467', '1660', '488', '988', '1311', '1758', '1859', '1304', '62', '1147', '127']"
831,1,3.584924278462773,19,"['1821', '1311', '688', '1593', '305', '127', '1280', '290', '1297', '1660', '1476', '467', '1320', '1147', '557', '1758', '1304', '103', '1068']"
1576,1,3.5837607470888746,11,"['1259', '1476', '1557', '467', '1297', '1758', '1304', '1787', '1320', '1068', '127']"
111,1,3.559119157429348,13,"['1374', '656', '467', '1763', '1311', '557', '1422', '698', '682', '862', '1147', '471', '127']"
1551,1,3.555021694484667,13,"['1259', '1821', '467', '1621', '894', '1297', '1758', '1423', '342', '471', '1593', '127', '109']"
1149,1,3.553486180778657,11,"['1259', '1476', '1280', '656', '467', '1631', '1297', '1337', '1366', '428', '751']"
640,1,3.5397648509839974,28,"['682', '1376', '1721', '868', '1366', '471', '781', '305', '127', '1593', '1739', '306', '290', '1297', '62', '1660', '1142', '1476', '1374', '467', '439', '1711', '1320', '318', '557', '103', '388', '95']"
126,1,3.539109836932107,39,"['1486', '1821', '880', '1763', '1311', '1433', '1825', '369', '471', '781', '67', '127', '305', '814', '1593', '1837', '725', '290', '1297', '1443', '455', '36', '1660', '1476', '1557', '656', '467', '1739', '287', '1320', '1533', '577', '1147', '2', '318', '1423', '319', '122', '1068']"
1488,1,3.530826590649818,7,"['1476', '1557', '1758', '1320', '103', '1660', '127']"
1757,1,3.5306710470024876,12,"['496', '290', '467', '1142', '235', '1311', '1297', '1433', '455', '103', '1068', '127']"
790,1,3.5271721561119467,20,"['1543', '1721', '1739', '197', '1593', '67', '127', '290', '45', '523', '106', '1660', '1476', '1643', '988', '1320', '1259', '319', '103', '1036']"
