node,best_radius,best_q,size,members
547,1,0.612566311890128,23,"['62', '1533', '1660', '345', '1678', '1739', '290', '1443', '1147', '1320', '1721', '103', '127', '1643', '988', '1311', '305', '653', '942', '1068', '1297', '1078', '1259']"
1469,1,0.6101873268180936,22,"['1631', '1476', '455', '62', '1660', '467', '1739', '1731', '290', '1147', '1320', '1721', '103', '318', '45', '127', '848', '988', '1376', '1297', '174', '1259']"
1410,1,0.6101873268180936,22,"['679', '1625', '1177', '265', '1845', '1431', '1706', '1036', '1232', '637', '82', '195', '1664', '1826', '683', '523', '1867', '55', '57', '622', '1086', '1647']"
1567,1,0.6101873268180936,22,"['1476', '1660', '467', '682', '1739', '290', '982', '1320', '1721', '103', '45', '1374', '1837', '893', '1142', '305', '557', '1068', '1297', '599', '1086', '878']"
1880,1,0.6081968075319456,5,"['1166', '1764', '1230', '952', '1254']"
294,1,0.6022635074622518,5,"['1821', '127', '290', '1811', '1758']"
521,1,0.6022635074622518,5,"['1028', '857', '499', '1127', '1108']"
736,1,0.6022635074622518,5,"['114', '24', '1166', '1337', '1175']"
1444,1,0.5977941727992484,15,"['1045', '1839', '826', '1791', '510', '1226', '432', '48', '560', '1395', '1498', '1573', '1337', '44', '133']"
381,1,0.58446360725317,10,"['102', '1476', '1699', '781', '870', '1297', '1147', '467', '1423', '1433']"
711,1,0.58446360725317,5,"['67', '1014', '622', '595', '350']"
1696,1,0.58446360725317,5,"['880', '1367', '1706', '1825', '669']"
671,1,0.58446360725317,5,"['1263', '1014', '1147', '315', '1311']"
973,1,0.58446360725317,10,"['1043', '1476', '753', '1644', '1275', '1320', '1601', '1507', '192', '1433']"
872,1,0.58446360725317,10,"['1107', '1185', '1732', '94', '1289', '1034', '1506', '885', '146', '224']"
542,1,0.58446360725317,5,"['290', '62', '1320', '1739', '45']"
1510,1,0.58446360725317,15,"['656', '1543', '1376', '1821', '290', '1765', '1297', '1660', '467', '1721', '682', '103', '45', '305', '878']"
859,1,0.58446360725317,10,"['1608', '1036', '1376', '871', '455', '62', '646', '1643', '523', '305']"
668,1,0.58446360725317,5,"['1476', '1297', '1660', '275', '305']"
890,1,0.58446360725317,5,"['127', '290', '1660', '1320', '103']"
1905,1,0.58446360725317,5,"['1476', '127', '1297', '851', '1259']"
795,1,0.58446360725317,5,"['1612', '1476', '290', '1660', '103']"
1202,1,0.58446360725317,5,"['35', '67', '290', '1694', '751']"
1796,1,0.58446360725317,5,"['1476', '127', '1660', '467', '1259']"
1544,1,0.58446360725317,5,"['67', '868', '1494', '315', '11']"
1521,1,0.58446360725317,10,"['1424', '1476', '127', '290', '857', '1660', '1739', '798', '103', '305']"
99,1,0.58446360725317,5,"['1666', '391', '2', '1226', '305']"
1663,1,0.58446360725317,15,"['689', '1376', '290', '148', '1093', '1660', '1657', '1422', '1525', '1320', '1739', '1593', '305', '878', '1259']"
1268,1,0.58446360725317,5,"['35', '1476', '628', '880', '1320']"
652,1,0.58446360725317,5,"['814', '502', '147', '1147', '244']"
1080,1,0.5805354881902476,27,"['1522', '1476', '36', '1699', '1245', '1660', '467', '1422', '1739', '1511', '290', '1320', '103', '665', '1505', '127', '287', '1758', '298', '305', '1348', '1376', '342', '1297', '106', '1086', '1259']"
998,1,0.5558190872970026,9,"['290', '781', '62', '1660', '1147', '1320', '1486', '103', '45']"
