Feature,Size,Jaccard Distance
category_dst=2,146,0.9954180266131057
category_dst=0,151,0.9952611097162942
category_dst=6,180,0.9943509917147878
category_dst=3,754,0.9763369319608335
category_dst=8,949,0.9702171729851871
price_dst=budget,2443,0.9233304042179262
category_dst=1,3836,0.8796133567662566
price_dst=midrange,6483,0.7965415515942756
price_dst=premium,22938,0.28012804418779813
category_dst=4,25847,0.18883379362289732
