prototype,rho,sigma,q,q_rg,n_nodes,feature
1824,3,1,0.36620409621362804,9.262682247736936e-05,3,HighActivity
1530,4,1,0.17328679513325185,0.00012740739827754794,4,HighActivity
798,11,1,0.15497709929190864,0.00019933224729459516,11,HighActivity
809,12,2,0.14591145622113463,0.0004042860771613739,12,HighActivity
953,10,4,0.14266997756492214,0.0002241363753929249,10,HighActivity
376,15,1,0.13432686803431845,0.00029870299619683745,17,HighActivity
1673,14,2,0.12104255148001888,0.00021805275327160462,14,HighActivity
617,14,2,0.12104255148001888,0.0004337918508341529,14,HighActivity
1326,6,3,0.11552453009332421,9.279403171364665e-05,6,HighActivity
992,9,2,0.10319036131919025,0.00018848583959878571,9,HighActivity
1908,14,3,0.09467844691123666,0.00043101192595487796,14,HighActivity
1467,16,4,0.0936733623537357,0.0004963250613844991,16,HighActivity
1424,6,3,0.09116077838405766,0.0001117271375120799,6,HighActivity
1031,32,4,0.08664339756662592,0.0010192591862203835,32,HighActivity
1367,18,6,0.08377147608492636,0.0003063792353018741,18,HighActivity
1589,4,2,0.07192051811294521,9.91993511214665e-05,4,HighActivity
1480,4,2,0.07192051811294521,0.00016083909328219457,4,HighActivity
912,17,3,0.06146588721914266,0.0006474241646144811,17,HighActivity
659,22,5,0.058597524835443275,0.0007109434938252356,22,HighActivity
55,22,13,0.05631965168764517,0.00048438000592237687,22,HighActivity
74,26,3,0.05602013258711831,0.0003996676540599249,26,HighActivity
1304,16,1,0.051667410822338264,0.000283788795997414,16,HighActivity
986,19,2,0.051380161715622576,0.00040354619403046895,19,HighActivity
460,35,4,0.047983296632423254,0.0007235686415962317,35,HighActivity
119,26,2,0.04761840064456659,0.00044666384687874376,26,HighActivity
60,20,14,0.04732082399394673,0.0003145610083823514,20,HighActivity
1533,18,1,0.04505167867718252,0.00028279781471429966,18,HighActivity
988,12,5,0.03625474040186824,0.0002695123673445483,12,HighActivity
851,14,1,0.03155948230374555,0.0002821286995940789,14,HighActivity
1287,55,5,0.0312519580978571,0.0008705691458120341,55,HighActivity
38,39,6,0.029872273770942846,0.0006198538669168039,39,HighActivity
88,48,7,0.02658856036201682,0.0008938171000966392,48,HighActivity
417,46,7,0.02630902983070403,0.000711811611616946,46,HighActivity
863,26,1,0.023809200322283296,0.0004132359112778693,26,HighActivity
349,39,8,0.02365914757368631,0.0012041486922058017,39,HighActivity
1337,31,5,0.022282312654069974,0.0006231448630620851,31,HighActivity
174,67,10,0.014032725277725897,0.0010335191967536812,67,HighActivity
996,58,1,0.01136630394581657,0.001831795246441072,58,HighActivity
496,140,3,0.011202896031128017,0.004319563186187235,140,HighActivity
1014,101,1,0.009942600041285747,0.0015517132774255356,101,HighActivity
1476,143,2,0.008840717341911934,0.0024354612931822162,143,HighActivity
127,714,1,0.000843382916424903,0.012411415316902001,714,HighActivity
1525,8,1,0.0,0.00024184732001417188,8,HighActivity
1731,2,1,0.0,6.046183000354297e-05,2,HighActivity
1246,6,1,0.0,0.00018138549001062891,7,HighActivity
1390,3,1,0.0,9.069274500531446e-05,3,HighActivity
1603,4,1,0.0,0.000182563402167814,5,HighActivity
1530,4,1,0.346573590266677,0.00021324100395555732,4,ViewsBand
1824,2,1,0.3465735902665037,9.83204473764815e-05,3,ViewsBand
1525,8,1,0.25993019270328094,0.00012100094393427646,8,ViewsBand
798,11,3,0.21503382553968942,0.00019415940072445463,11,ViewsBand
1424,5,2,0.2043302494957104,0.0002564622390874856,6,ViewsBand
988,12,8,0.2027325540365857,0.00017875827159702062,12,ViewsBand
1326,6,1,0.18310204810681402,0.00018327709432256395,6,ViewsBand
912,14,3,0.1815638272145382,0.00026948747568344495,17,ViewsBand
1673,14,2,0.1789661383489445,0.00018486336016582477,14,ViewsBand
1908,14,2,0.17896613834890565,0.00020339679702747028,14,ViewsBand
953,10,8,0.17851484103055057,0.0005513809802431285,10,ViewsBand
1589,4,1,0.17328679513325185,0.000196640894752963,4,ViewsBand
617,14,7,0.127383908536502,0.0003202076022407969,14,ViewsBand
863,19,2,0.12133468525108154,0.00041871767349590063,26,ViewsBand
809,11,1,0.11811663491609292,0.00020829784447125836,12,ViewsBand
1246,7,2,0.09613492474138133,0.0001185448240176185,7,ViewsBand
1304,14,1,0.08948306917444329,0.0003450184727025866,16,ViewsBand
119,26,3,0.08921421787007504,0.000896504319417567,26,ViewsBand
60,20,12,0.08745046819489025,0.0002659836675872356,20,ViewsBand
460,34,4,0.07518757608155634,0.0008399028515163503,35,ViewsBand
417,46,19,0.06971783085480793,0.0006140514279955269,46,ViewsBand
659,22,4,0.06963495494631333,0.00027722276211441155,22,ViewsBand
1533,18,8,0.0680701894219442,0.0002511168307589913,18,ViewsBand
376,17,6,0.06803322717816115,0.00022432439295470244,17,ViewsBand
1367,18,2,0.06757751801506222,0.00029244154058013155,18,ViewsBand
1287,55,13,0.06551104958680179,0.0007037303360632074,55,ViewsBand
88,46,21,0.06466729551182153,0.0010585448601030784,48,ViewsBand
38,39,2,0.05253868289545656,0.0007725852220118014,39,ViewsBand
55,22,1,0.05205146837501542,0.00030290798701312893,22,ViewsBand
851,14,5,0.05180346118476392,0.00018011240009094417,14,ViewsBand
1476,143,16,0.051501483028794544,0.002581435784934061,143,ViewsBand
992,9,3,0.03926101187698322,0.0006682239776283112,9,ViewsBand
349,39,6,0.03893250727896513,0.00049785934090121,39,ViewsBand
1467,16,2,0.035960259053192015,0.0002670795522993376,16,ViewsBand
996,58,17,0.035538578884200776,0.0007514241793083617,58,ViewsBand
1014,101,15,0.0348093281148267,0.0017414914910004263,101,ViewsBand
1031,32,1,0.03337001968589511,0.00046885920293050087,32,ViewsBand
